wavelength,flux
5387.252083,1.263748E-14
5390.206169,1.261438E-14
5393.160254,1.259592E-14
5396.11434,1.25813e-14
5399.068425,1.256574E-14
5402.022511,1.251586E-14
5404.976596,1.25557e-14
5407.930682,1.256178E-14
5410.884767,1.252272E-14
5413.838853,1.249125E-14
5416.792938,1.248298E-14
5419.747024,1.245564E-14
5422.701109,1.239109E-14
5425.655195,1.232215E-14
5428.60928,1.224155E-14
5431.563366,1.219016E-14
5434.517451,1.2211e-14
5437.471537,1.219952E-14
5440.425622,1.212321E-14
5443.379708,1.20427e-14
5446.333793,1.199146E-14
5449.287879,1.193266E-14
5452.241965,1.186042E-14
5455.19605,1.179647E-14
5458.150136,1.181376E-14
5461.104221,1.192213E-14
5464.058307,1.194825E-14
5467.012392,1.187059E-14
5469.966478,1.179653E-14
5472.920563,1.17783e-14
5475.874649,1.179043E-14
5478.828734,1.178351E-14
5481.78282,1.175853E-14
5484.736905,1.169298E-14
5487.690991,1.166991E-14
5490.645076,1.169584E-14
5493.599162,1.16563e-14
5496.553247,1.16237e-14
5499.507333,1.165928E-14
5502.461418,1.170473E-14
5505.415504,1.169501E-14
5508.369589,1.164084E-14
5511.323675,1.158069E-14
5514.27776,1.152747E-14
5517.231846,1.15282e-14
5520.185931,1.155594E-14
5523.140017,1.154667E-14
5526.094102,1.14953e-14
5529.048188,1.146377E-14
5532.002273,1.145147E-14
5534.956359,1.143358E-14
5537.910444,1.143912E-14
5540.86453,1.14254e-14
5543.818615,1.134499E-14
5546.772701,1.13043e-14
5549.726786,1.131276E-14
5552.680872,1.129765E-14
5555.634957,1.127144E-14
5558.589043,1.122688E-14
5561.543128,1.117932E-14
5564.497214,1.112887E-14
5567.451299,1.101098E-14
5570.405385,1.096837E-14
5573.35947,1.108087E-14
5576.313556,1.12096e-14
5579.267641,1.124521E-14
5582.221727,1.113191E-14
5585.175812,1.092349E-14
5588.129898,1.080134E-14
5591.083983,1.081704E-14
5594.038069,1.085057E-14
5596.992154,1.083199E-14
5599.94624,1.080781E-14
5602.900326,1.082583E-14
5605.854411,1.084536E-14
5608.808497,1.0818e-14
5611.762582,1.076561E-14
5614.716668,1.07132e-14
5617.670753,1.069124E-14
5620.624839,1.06953e-14
5623.578924,1.06619e-14
5626.53301,1.055927E-14
5629.487095,1.047692E-14
5632.441181,1.051842E-14
5635.395266,1.056668E-14
5638.349352,1.052587E-14
5641.303437,1.047344E-14
5644.257523,1.045179E-14
5647.211608,1.042146E-14
5650.165694,1.040689E-14
5653.119779,1.042374E-14
5656.073865,1.039844E-14
5659.02795,1.033492E-14
5661.982036,1.030263E-14
5664.936121,1.029756E-14
5667.890207,1.024942E-14
5670.844292,1.020611E-14
5673.798378,1.018687E-14
5676.752463,1.016705E-14
5679.706549,1.01489e-14
5682.660634,1.018021E-14
5685.61472,1.019052E-14
5688.568805,1.014233E-14
5691.522891,1.011067E-14
5694.476976,1.013279E-14
5697.431062,1.013366E-14
5700.385147,1.007698E-14
5703.339233,1.001841E-14
5706.293318,9.986446E-15
5709.247404,9.935417E-15
5712.201489,9.859328E-15
5715.155575,9.884797E-15
5718.10966,9.963448E-15
5721.063746,9.938916E-15
5724.017831,9.865688E-15
5726.971917,9.824871E-15
5729.926002,9.826214E-15
5732.880088,9.822909E-15
5735.834173,9.788686E-15
5738.788259,9.798758E-15
5741.742344,9.838914E-15
5744.69643,9.806919E-15
5747.650516,9.729156E-15
5750.604601,9.671589E-15
5753.558687,9.618178E-15
5756.512772,9.604699E-15
5759.466858,9.607331E-15
5762.420943,9.587598E-15
5765.375029,9.565219E-15
5768.329114,9.510511E-15
5771.2832,9.48237e-15
5774.237285,9.477959E-15
5777.191371,9.452473E-15
5780.145456,9.37575e-15
